title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
"Steins;Gate";TV;24;2011;2011;Spring;The eccentric mad scientist Okabe, his childhood friend Mayuri, and the otaku hacker Daru have banded together to form the Future Gadget Research Laboratory, and spend their days in a ramshackle laboratory hanging out and occasionally attempting to invent incredible, yet generally useless, futuristic gadgets. However, their claymore is a hydrator and their hair dryer flips breakers, and the only invention that’s even remotely interesting is their Phone Microwave, which transforms bananas into oozing green gel. But when an experiment goes awry the gang discovers that the Phone Microwave can also send text messages to the past. And what's more, the words they send can affect the flow of time and have unforeseen, far-reaching consequences...;['WHITE FOX'];Sci Fi,Conspiracy,LGBT Themes,Psychological,Thriller,Time Travel,Based on a Visual Novel
Code Geass: Lelouch of the Rebellion R2;TV;25;2008;2008;Spring;"Area 11 is still under Britannian rule and the Elevens remain brutally oppressed; what’s more, their saviour, Zero, is nowhere to be found and all of Britannia believes the rebellion is finally over. Elsewhere, having lost the battle, Lelouch sets his sights upon winning the war – but the task is no easier since the Britannian forces have learned some valuable lessons all of their own. Not only have they discovered his identity and captured many of his Black Knights, but they now manipulate the memories of all of his friends. Worst of all, they have taken the most precious thing in his life – his dear sister, Nunnally. With his hatred for the Britannians stronger than ever before, Lelouch must now recuperate his forces and bring their rule of terror to an end.";['Sunrise'];Mecha,Sci Fi,Conspiracy,Mind Games,Overpowered Main Characters,Political,Psychological,Real Robot,Rebellions,Rivalries,Royalty,Superpowers,Terrorism,Original Work
Kaguya-sama: Love Is War?;TV;10;2020;;Spring;The battle between love and pride continues! Neither Kaguya nor Shirogane has made a move, but new friends and rivals just might push them closer.;['A-1 Pictures'];Comedy,Drama,Romance,Seinen,Episodic,Love Confession,Mind Games,School Life,Student Council,Based on a Manga
Haikyuu!! To the Top;TV;13;2020;2020;Winter;The Karasuno High School Volleyball Club finally won their way into the nationals after an intense battle for the Miyagi Prefecture Spring Tournament qualifiers. As they were preparing for the nationals, Kageyama is invited to go to All-Japan Youth Training Camp. At the same time, Tsukishima is invited to go to a special rookie select training camp for first-years in Miyagi Prefecture. Hinata feels panic that he’s being left behind as one of the first-years and then decides to show up at the Miyagi Prefecture rookie select training camp anyway... As they prepare for the nationals, Hinata, Kageyama and the rest of the Karasuno High School Volleyball team get ready to face some new challenges!!;['Production I.G'];Shounen,Sports,Animeism,School Club,Tournaments,Volleyball,Based on a Manga
The Promised Neverland;TV;12;2019;2019;Winter;"Emma, Norman, Ray, and many other ""siblings"" live at an isolated orphanage cut off from the outside world. They live a charmed life surrounded by friends and watched over by Mama, their caretaker, until they leave the house for a foster family by the age of twelve. The only rule is that they must never venture outside of the gate that isolates them from the rest of society, for dangers await. But one day, the children learn the true horror of what's in store for their short lives... ";['CloverWorks'];Fantasy,Horror,Mystery,Sci Fi,Shounen,Dark Fantasy,Isolated Society,Mind Games,noitaminA,Orphans,Outside World,Psychological,Thriller,Based on a Manga
My Hero Academia 3;TV;25;2018;2018;Spring;Summer is here,and the heroes of Class 1-A and 1-B are in for the toughest training camp of their lives! A group of seasoned pros pushes everyone’s Quirks to new heights as the students face one overwhelming challenge after another. Braving the elements in this secret location becomes the least of their worries when routine training turns into a critical struggle for survival.;['Bones'];Action,Comedy,Drama,Sci Fi,Shounen,Superheroes,Superpowers,Based on a Manga
March Comes in like a Lion 2nd Season;TV;22;2017;2018;Fall;Rei continues to work hard at improving his shogi skills, determined to win competitions. When he learns that one of the Kawamoto sisters is facing a crisis, he wants to do everything he can to help, including finding a way to use his shogi winnings to pay them back for all they've done to save him from his pain and loneliness. Meanwhile, Rei's self-appointed rival Nikaidou faces a crisis of his own when his poor health takes a turn for the worse. ;['Shaft'];Drama,Seinen,Slice of Life,Board Games,Melancholy,Orphans,Psychological,Based on a Manga
Mushishi Zoku Shou 2nd Season;TV;10;2014;2014;Fall;Continuation of Mushishi Zoku Shou.;['Artland'];Fantasy,Seinen,Episodic,Iyashikei,Supernatural,Based on a Manga
My Hero Academia 2;TV;25;2017;2017;Spring;In a world where eighty percent of the population has some kind of super-powered “quirk,” Izuku was unlucky enough to be born completely normal. But that won’t stop him from enrolling in a prestigious hero academy. Now, the promising freshman class is making its debut at the world-renowned U.A. Sports Festival! It’s Quirk versus Quirk as our young heroes face off in the ultimate showdown.;['Bones'];Action,Comedy,Drama,Sci Fi,Shounen,School Life,Superheroes,Superpowers,Tournaments,Weak to Strong,Based on a Manga
Natsume's Book of Friends Season 6;TV;11;2017;2017;Spring;Precious days with kinds friends. A beautiful yet fleeting story about people and spirits. Natsume Takashi had been able to see youkai ever since he was young and inherited his grandmother Reiko’s Book of Friends. He spends his days with his self-proclaimed bodyguard Nyanko-sensei and freeing the youkai that were bound to the book. Natsume continues to find ways to protect the precious days where he tries to find which path to follow through his connections with spirits and those involved with them and being helped out by friends who share the same feelings.;['Shuka'];Drama,Fantasy,Shoujo,Bodyguards,Cats,Countryside,Episodic,Iyashikei,Japanese Mythology,Orphans,Supernatural,Youkai,Based on a Manga
Gintama';TV;51;2011;2012;Spring;Gintoki Sakata, Kagura, and Shinpachi Shimura continue to scrape together a living as the freelance jack-of-all-trades group Yorozuya in Edo while living among the several odd humans and aliens that inhabit the peculiar metropolis.;['Sunrise'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Breaking the Fourth Wall,Crude,Feudal Japan,Gag,Parody,Samurai,Slapstick,Swordplay,Based on a Manga
Gintama.: Shirogane no Tamashii-hen 2;TV;14;2018;2018;Summer;Continuation of Gintama.: Shirogane no Tamashii-hen.;['BN Pictures'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Crude,Feudal Japan,Gag,Samurai,Slapstick,Swordplay,Based on a Manga
Gintama.;TV;12;2017;2017;Winter;Fifth season of Gintama.;['BN Pictures'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Crude,Feudal Japan,Gag,Samurai,Slapstick,Swordplay,Based on a Manga
Gintama': Enchousen;TV;13;2012;2013;Fall;Third season of Gintama.;['Sunrise'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Crude,Feudal Japan,Gag,Parody,Samurai,Slapstick,Swordplay,Based on a Manga
One-Punch Man;TV;12;2015;2015;Fall;In a city plagued with thugs, mutants, and supervillains, Saitama decides to become a superhero for fun. He envisions an exciting life where he is constantly challenged with tough opponents, but after three years of intense training, he's become so strong that he defeats every enemy with one punch! His dream of engaging challenging foes has gone up in smoke, and his overpowered life is filled with overpowering boredom. Then a cyborg named Genos learns about Saitama's amazing ability and begs him to make him his disciple. Saitama isn't interested in taking on an apprentice, but Genos isn't giving up. Can he convince the disillusioned hero to teach him the secret of his strength? And will Saitama ever find a worthy adversary to battle?;['MADHOUSE'];Action,Comedy,Sci Fi,Seinen,Cyborgs,Monsters,Overpowered Main Characters,Parody,Satire,Superheroes,Superpowers,Based on a Manga
Clannad After Story;TV;24;2008;2009;Fall;"Summer break is now over; the second semester has started for Tomoya, Nagisa and the others, and little has changed. Since Tomoya's relationship with his father is still troubled, he continues to live with Nagisa and her family, even if it means getting roped into organizing a baseball team for the family bakery. Life at school continues as normal with Sunohara as carefree as ever; however, when his sister Mei voices her concerns about him, the series of events that follow place a strain on Sunohara and Tomoya’s friendship. Whether it's saving a person from themselves or passing on a message from the past, one thing’s for sure: no matter how tough things get, good friends will always be there to help out.";['Kyoto Animation'];Drama,Romance,Adult Couples,Coming of Age,Family Life,Illness,Based on a Visual Novel
Spirited Away;Movie;1;2001;2001;;Chihiro and her family are on their way to their new home, when they discover an abandoned amusement park. After Chihiro's family mysteriously turn into pigs, she is thrown into a surreal world of magic and fantasy. Join her as she struggles to survive in the bathhouse of the gods, ruled by an evil witch who has stolen not only her name, but her way back to the real world.;['Studio Ghibli'];Adventure,Fantasy,Curse,Family Friendly,Isekai,Japanese Mythology,Magic,Person in a Strange World,Youkai,Original Work
Vinland Saga;TV;24;2019;2019;Summer;Around the end of the millennium, Viking, the mightiest but atrocious tribe, had been outbreaking everywhere. Thorfinn, the son of the greatest warrior, lived his childhood in the battlefield. He was seeking the land of reverie called Vinland. This is the story of a true warrior in an age of turmoil.;['Wit Studio'];Action,Seinen,England,Europe,Historical,Medieval,Revenge,Swordplay,War,Weak to Strong,Based on a Manga
Mushishi Zoku Shou;TV;10;2014;2014;Spring;They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre creatures and called them “Mushi.” People once again began to believe in the existence of these “Mushi” when they began affecting their lives in inexplicable ways. The one who connects the world of “Mushi” to the world of humans—they were called the “Mushi-shi.” All life exists not to hinder others in this world. They are simply there to live as they were meant to.;['Artland'];Fantasy,Seinen,Episodic,Iyashikei,Supernatural,Based on a Manga
Gintama.: Shirogane no Tamashii-hen;TV;12;2018;2018;Winter;Final arc of Gintama.;['BN Pictures'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Crude,Feudal Japan,Gag,Samurai,Slapstick,Swordplay,Based on a Manga
Wolf Children;Movie;1;2012;2012;;Hana was a student before she was a mother. She was bright and pretty, and her future held endless possibilities. Then she met a man, who turned out to be a wolf, and together they built a family. Hana loved her mate fiercely, but fate took him from her, leaving her alone with two unusual kids she didn’t know how to raise. Frightened of being discovered, Hana and her wolf children fled to the countryside to build a new life. Raising her little wild things was an adventure. It left Hana bruised, scratched, exhausted, and joyously overwhelmed as her pups grew stronger and wandered further every day. This is a mother’s journey. Teach your children to chase their dreams – and smile through the tears as they disappear into the world in search of who they will become. Hana wasn’t always a mother, but it was always what she was meant to be.;['Studio Chizu'];Fantasy,Slice of Life,Animal Characteristics,Animal Transformation,Childcare,Coming of Age,Contemporary Fantasy,Countryside,Family Life,Lifestyle Change,Single Parent,Werewolves,Original Work
Rascal Does Not Dream of a Dreaming Girl;Movie;1;2019;2019;;In Fujisawa, where the skies are bright and the seas glisten, Sakuta Azusagawa is in his second year of high school. His blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted with the appearance of his first crush, Shoko Makinohara. For reasons unknown, he encounters two Shoko-s: one in middle school and another who has become an adult. As Sakuta finds himself helplessly living with the Shoko-s, the adult Shoko leads him around by the nose, causing a huge rift in his relationship with Mai. In the midst of all of this, he discovers that the middle school Shoko is suffering from a grave illness and his scar begins to throb...;['CloverWorks'];Drama,Romance,Illness,Senpai-Kouhai Relationship,Supernatural,Time Travel,Based on a Light Novel
Natsume's Book of Friends Season 4;TV;13;2012;2012;Winter;"Takashi Natsume continues to return the names of the spirits that have been written in the ""Book of Friends"" he inherited from his grandmother, Reiko Natsume. While Natsume is still aided by the chubby Nyanko-sensei, he's now helped by some of the friends he had made in his journey; be it human beings or spirits. As he becomes closer to both, Natsume faces the inevitable question of the sides he has to take especially when there is a conflict between the two.";[];Drama,Shoujo,Slice of Life,Bodyguards,Cats,Countryside,Episodic,Iyashikei,Japanese Mythology,Orphans,Supernatural,Youkai,Based on a Manga
Made in Abyss;TV;13;2017;2017;Summer;Young Riko has spent her entire childhood dreaming of exploring the Abyss, an enormous pit and series of caves filled with wonders and terrors that only the staunchest Cave Raiders have survived to bring back ancient artifacts from its depths. No one knows just how deep the pit is, but Riko's own mother disappeared into it years ago, leaving her daughter behind with a powerful urge to follow after her and learn the Abyss's mysteries for herself. One day Riko discovers a boy who seems to have originated from the Abyss and appears to be a sort of robot. Can he aid the little girl in her quest to find her missing mother? Or will the children become the Abyss's next victims?;['Kinema Citrus'];Adventure,Fantasy,Mystery,Sci Fi,Seinen,Androids,Curse,Dark Fantasy,Melancholy,Non-Human Protagonists,Orphans,Outside World,Psychological,Robots,Based on a Manga
Hajime no Ippo: New Challenger;TV;26;2009;2009;Winter;"Ippo continues his career as a professional boxer, trying to live up to his role as the Japanese champion. Now that a new generation looks up to him as both a role model and a target - even though he's still a little green behind the ears himself - Ippo must develop his skills both inside and outside the ring. Can the kind Ippo ruthlessly crush his challengers and be a man his younger peers can look up to? And ultimately, can he take his skills to the level where he can follow in Date Eiji's footsteps and aim for the international title? Pro boxing is a difficult sport; Ippo and his friends - even the mighty Kimura, must survive in a competetive world where all others must fall in order for one to rise to the top...";['MADHOUSE'];Action,Drama,Shounen,Sports,Boxing,Hand to Hand Combat,Tournaments,Based on a Manga
Haikyuu!!;TV;25;2014;2014;Spring;Shoyo Hinata isn't a large guy, but he's got huge ambitions. Ever since seeing a small player score in a National Championship, he's been determined to become the next big thing in High School Volleyball. Unfortunately, the one time he was able to pull enough players together to form a team in junior high, they were completely trashed in their first and only match against a team led by up-and-coming setter Tobio Kageyama.Now, enrolled at the same high school where his idol once played, Shoyo's finally going to get his shot to join and play with a top team. There's just one problem: Tobio Kageyama's decided to attend the same school, and he's already considered one of the best players in the game. Can a kid out of nowhere hold his own against the King of the Court? Or could the rivalry and competition actually be the best thing for both of them?;['Production I.G'];Shounen,Sports,School Club,School Life,Tournaments,Volleyball,Based on a Manga
Natsume's Book of Friends Season 5;TV;11;2016;2016;Fall;"Takashi Natsume is a boy who's been able to see youkai ever since he was a child. Ever since he inherited the ""Book of Friends"" from his grandmother Reiko, he and his self-proclaimed bodyguard Nyanko-sensei have spent their days returning names to the youkai who are bound by the book. As he meets the different youkai and people, he finds himself with many more things that he cares about. He wonders whether it's right to keep secrets to protect someone as little by little he works up the courage to build even more friendships.";['Shuka'];Drama,Shoujo,Slice of Life,Bodyguards,Cats,Countryside,Episodic,Iyashikei,Japanese Mythology,Orphans,Supernatural,Youkai,Based on a Manga
Hajime no Ippo: The Fighting!;TV;75;2000;2002;Fall;Ippo Makunouchi is a loser. He has no friends, he spends his free time helping his mom with work, and he's constantly being beaten up by bullies. But that all changes when one day he's saved from another beating by Takamura, an up-and-coming boxer. Soon, Ippo turns his life around with a passion for the newly discovered sport, but his new lifestyle is far from easy! Before he can even dream of becoming champion, he'll have to overcome a slew of fierce rivals and learn what 'dedication' really means.;['MADHOUSE'];Action,Drama,Shounen,Sports,Boxing,Hand to Hand Combat,Weak to Strong,Based on a Manga
Howl's Moving Castle;Movie;1;2004;2004;;"The responsible Sophie led a relatively normal life, safe within the walls of the hat shop in which she works; for outside, it is rumored, the evil wizard Howl roams the land in his mobile black castle. After a chance and mystical encounter, poor Sophie finds herself transformed by a witch's spell which makes her appear to be an old woman, and thus embarks on an adventure to find Howl’s castle and put an end to her curse. A mystical world of talking flames, sentient scarecrows, and magic aplenty awaits those who seek the legendary Howl...";['Studio Ghibli'];Adventure,Fantasy,Romance,Curse,Family Friendly,Lifestyle Change,Magic,Witches,Based on a Novel
Code Geass: Lelouch of the Rebellion;TV;25;2006;2007;Fall;"In 2010, the Britannian Empire enslaved Japan using powerful mecha known as Knightmares; in the aftermath Japan was renamed Area 11, and its people began a hard and terrible existence. Lelouch, a Britannian student living in Area 11, has grown up hating the Empire and everything it stands for. One day, in the middle of a terrorist attack, Lelouch meets a mysterious girl who grants him the ability to control minds. Can he use his new power to fight for freedom, or will his hatred twist his good intentions into mindless acts of vengeance?";['Sunrise'];Mecha,Sci Fi,Conspiracy,Mind Games,Overpowered Main Characters,Political,Psychological,Real Robot,Rebellions,Revenge,Rivalries,Royalty,Superpowers,Terrorism,Original Work
Descending Stories: Shouwa Genroku Rakugo Shinjuu;TV;12;2017;2017;Winter;After a decade of hard work, Yotaro has finally obtained the rank of Shinuchi and taken a new stage name. His rakugo still needs more refining, however, and he's still struggling to find a style that is all his own as he tries to save the art form from dying out. He has also dedicated himself to taking care of his aging master Yakumo and helping Konatsu raise her new baby. She refuses to reveal the identity of her child's father, but Yotaro has his suspicions. How many more secrets can these people possibly have? And can they preserve the rakugo they all love for future generations?;['Studio Deen'];Drama,Josei,Adult Couples,Animeism,Apprenticeship,Historical,Rakugo,Based on a Manga
Kizumonogatari Movie 3: Reiketsu;Movie;1;2017;2017;;Part 3 of the Kizumonogatari triology.;['Shaft'];Action,Drama,Ecchi,Psychological,Supernatural,Vampires,Based on a Light Novel
JoJo's Bizarre Adventure: Golden Wind;TV;39;2018;2019;Fall;Giorno Giovanna is a young man that lives in Naples and is the son of DIO, the nemesis of the Joestar family. When he was younger, he was oppressed and started acting out, but one day, he saved a gang member and then learned how to trust people. Bizarrely, he never forgot that and learned how to be respectful with  his own gang that straightened him out. That’s also how he started aspiring to become a Gang-Star. Now fifteen, Giorno gets in trouble with the gang Passione, which controls the Italian mafia underworld, and now, he’s being targeted.;['David Production'];Action,Adventure,Shounen,Europe,Italy,Supernatural,Based on a Manga
Princess Mononoke;Movie;1;1997;1997;;With the rise of the Iron Age in feudal Japan, man and nature grow increasingly at odds. As mankind infringes more and more into the kingdom of the beasts, many of the elder animal gods begin to succumb to their rage, cursing themselves as they lash out at rural and urban settlements alike. When a young Ashitaka, hero of his village, is imparted with one of these curses after slaying a crazed god, he forces himself into exile to prevent further harm to his village. As he ventures out into the world, however, he discovers just how dire the straights have become - with man and beast ready to break into all out war, his curse becomes the least of his problems. As both sides teeter dangerously on the side of outright slaughter of one another, Ashitaka sets his own problems aside and, using his charisma and honor, seeks to quell the hatred before it gets beyond repair - but will he be in time or is he simply delaying the inevitable?;['Studio Ghibli'];Action,Adventure,Fantasy,Curse,Environmental,Feudal Japan,Forest,Japanese Mythology,Royalty,Original Work
Monogatari Series: Second Season;TV;26;2013;2013;Summer;The bee apparition is now gone, and summer vacation where the phoenix apparition averted harm is over-- Around Koyomi Araragi and the girls who started a new trimester, apparitions, or perhaps threats even worse, were creeping in ever closer. Tsubasa Hanekawa, Mayoi Hachikuji, Suruga Kanbaru, Nadeko Sengoku, Shinobu Oshino, and Hitagi Senjyogahara. Their soliloquies, confessions – and farewells.;['Shaft'];Comedy,Drama,Supernatural,Based on a Light Novel
Douluo Dalu 2;Web;82;2018;;;Second season of Douluo Dalu.;[];Action,Fantasy,Chinese Animation,Cultivation,Xianxia,Based on a Novel,CG Animation
Gintama: Porori-hen;TV;13;2017;2017;Fall;Sixth season of Gintama.;['BN Pictures'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Crude,Feudal Japan,Gag,Samurai,Slapstick,Swordplay,Based on a Manga
My Hero Academia 4;TV;25;2019;2020;Fall;The villain world teeters on the brink of war now that All For One is out of the picture. Shigaraki of the League of Villains squares off with Overhaul of the yakuza, vying for total control of the shadows. Meanwhile, Deku gets tangled in another dangerous internship as he struggles to keep pace with his upperclassman—Mirio.;['Bones'];Action,Sci Fi,Shounen,Superheroes,Superpowers,Based on a Manga
Owarimonogatari (2017);TV Special;3;2017;2017;;Second season of Owarimonogatari.;['Shaft'];Drama,Mystery,Supernatural,Based on a Light Novel
Weathering With You;Movie;1;2019;2019;;The summer of his high school freshman year, Hokoda runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if to suggest his future. He lives his days in isolation, but finally finds work as a writer for a mysterious occult magazine. Then one day, Hokoda meets Hina on a busy street corner. This bright and strong­willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky...;['CoMix Wave Films'];Drama,Lifestyle Change,Supernatural,Writers,Original Work
Luo Xiao Hei Zhan Ji Movie;Movie;1;2019;2019;;;[];Action,Adventure,Fantasy,Animal Characteristics,Animal Transformation,Cats,Chinese Animation,Family Friendly,Non-Human Protagonists,Urban Fantasy
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson;Movie;1;2019;2019;;A video game-loving shut-in, Kazuma's life should've ended when he was hit by a truck, but through a twist of fate, he ends up reincarnating in another world--and dragging the troublemaking goddess, Aqua, the wildly dorky mage, Megumin, and the unrelentingly delusional lady knight, Darkness, with him. Now, the Crimson Demon village that Megumin and Yunyun are from is facing a threat that could mean it's ending. Kazuma and his gang follow Yunyun, who returns to the Crimson Demon village intent on saving it... when they are faced with their greatest threat yet! What will become of the unremarkable adventurer Kazuma's life in another world?!;['J.C. Staff'];Comedy,Ecchi,Fantasy,Isekai,NEET,Person in a Strange World,RPG,Based on a Light Novel
Mushishi Zoku Shou: Suzu no Shizuku;Movie;1;2015;2015;;The anime adaptation of the final Mushishi manga arc. Ginko stumbles upon a young girl in a mountain with branches and leaves growing out of her body. He later realises that she is the lord of that mountain but finds it strange that a human like her was chosen as the lord. He later meets her older brother who has continued to search for her ever since she disappeared while she was accompanying him on a stormy day. The story is about that girl, Kaya, and how she is torn between continuing her duty as a mushi lord and returning back to her loving human family.;['Artland'];Fantasy,Seinen,Countryside,Forest,Iyashikei,Supernatural,Based on a Manga
Assassination Classroom 2nd Season;TV;25;2016;2016;Winter;Class 3E is about to begin their second semester! And while some things have changed, the class assignment is still the same: kill their teacher before the end of the year! Easier said than done since Koro Sensei's made it clear he won't go down without a fight. Will these students be able to take down the tentacled monster that moves at Mach 20 before he can destroy the world?;['Lerche'];Action,Comedy,Sci Fi,Shounen,Assassins,Non-Human Protagonists,Overpowered Main Characters,Parody,School Life,Teaching,Based on a Manga
Rurouni Kenshin: Tsuiokuhen;OVA;4;1999;1999;;Himura Kenshin was a boy orphaned by the murder of his parents. Now he is the Hitokiri Battousai, the most feared and skilled killer in 19th century Japan. In the midst of a blood bath, he meets the love of his life, Tomoe. Will he continue to fight his enemies in a killing rage or will she sheath his bloodstained sword?;['Studio Deen'];Romance,19th Century,Feudal Japan,Melancholy,Samurai,Star-Crossed Lovers,Swordplay,Based on a Manga
Natsume's Book of Friends Season 3;TV;13;2011;2011;Summer;Takashi Natsume sees spirits, and with the help of his lazy and sake-guzzling bodyguard Nyanko-sensei he returns to spirits their names that were stolen by his grandmother Reiko Natsume. Not all of the spirits are peaceful though, and he often fights to keep himself and his family and friends safe while at the same time fighting the loneliness that plagued him before he found his home.;[];Drama,Shoujo,Slice of Life,Bodyguards,Cats,Countryside,Episodic,Iyashikei,Japanese Mythology,Orphans,Supernatural,Youkai,Based on a Manga
Mushishi: Hihamukage;TV Special;1;2014;2014;;The mushi are said to become uneasy during an eclipse. Tanyuu sends Ginko to monitor a village for the appearance of a mushi that causes a neverending eclipse. Her foreboding is justified when the village is enveloped in darkness...;['Artland'];Fantasy,Seinen,Countryside,Illness,Supernatural,Based on a Manga
